1 20 795 15 18 72 77 26 75 35 39 19 24 78 22 25 90 96 53 31 64 9 98 97 65 61 83 61 74 42 47 87 66 50 48 36 59 33 35 98 19 23 34
2 20 798 76 79 27 85 12 29 38 41 99 24 10 79 90 53 63 67 45 85 79 70 11 5 90 42 80 8 15 71 29 1 58 39 1 11 81 37 38 98 56 43
3 20 776 78 30 13 24 57 58 85 83 6 78 80 17 83 71 58 36 48 88 76 64 24 81 36 69 16 86 5 81 26 14 22 85 54 20 66 52 44 38 94 17
4 20 976 69 17 69 67 57 83 98 12 36 8 36 88 49 82 61 34 21 30 78 55 75 87 83 13 10 93 64 17 87 3 58 66 96 41 90 1 8 53 76 20
5 20 619 10 6 54 34 81 32 10 86 65 51 8 18 31 19 19 1 38 97 25 20 2 64 27 72 54 88 30 40 53 26 83 61 50 64 69 18 10 95 55 53
6 20 924 72 71 87 98 76 83 40 58 84 3 3 56 41 78 74 91 19 73 58 75 4 42 87 51 37 76 82 28 55 1 84 93 98 59 52 27 68 1 34 91
7 20 696 1 94 94 91 71 43 25 36 82 95 80 66 2 69 55 67 64 90 51 62 40 11 12 33 16 92 1 52 59 68 97 77 82 5 16 99 16 47 7 92
8 20 738 87 40 36 66 91 61 78 6 29 15 65 53 18 65 76 15 34 11 26 27 48 89 6 97 42 70 42 71 39 6 54 84 97 57 35 32 2 82 18 35
9 20 771 8 38 86 23 26 18 97 44 36 51 3 27 10 68 47 88 59 62 55 88 22 11 55 98 91 19 64 50 7 58 84 60 55 36 39 5 54 41 66 96
10 20 860 49 24 96 98 74 22 35 19 32 20 64 59 53 66 84 44 40 56 72 41 59 89 26 84 66 85 47 65 98 29 64 58 51 30 29 98 31 40 6 50
11 20 879 54 33 83 45 13 70 59 94 22 78 57 22 35 15 96 34 92 85 77 64 60 66 73 95 90 90 7 92 37 63 8 79 66 80 55 60 60 71 55 3
12 20 919 38 99 84 31 22 90 53 61 6 93 92 63 53 27 42 28 85 50 41 93 20 66 11 14 100 72 15 73 100 94 65 75 62 13 67 5 100 89 93 56
13 20 1073 46 90 76 14 80 6 68 35 100 26 90 69 41 32 86 19 26 6 69 27 8 85 85 87 71 71 85 92 23 77 82 8 88 35 85 100 40 68 93 16
14 20 1012 49 12 90 26 86 54 80 56 21 99 75 14 87 53 58 50 98 89 7 52 50 34 75 48 77 48 91 50 79 96 26 5 48 7 51 1 41 12 77 13
15 20 1086 66 1 70 4 43 90 97 95 70 93 97 69 71 3 34 5 89 14 70 70 78 35 85 30 43 93 64 48 76 35 52 98 6 54 76 51 83 60 88 40
16 20 873 62 73 67 95 11 44 94 73 59 68 18 22 68 14 76 91 28 42 69 31 61 41 34 35 27 21 65 64 83 85 3 59 86 63 32 48 69 89 80 26
17 20 721 12 33 43 32 49 97 38 13 69 41 14 63 44 8 17 30 33 99 25 14 16 72 58 43 53 45 32 38 92 56 98 28 27 32 52 14 32 87 98 95
18 20 734 84 10 41 80 31 39 42 46 19 19 17 72 55 83 73 39 74 19 12 12 28 50 2 68 78 85 24 6 50 61 20 89 81 60 52 53 48 32 87 80
19 20 873 49 59 95 19 32 10 42 87 68 49 25 21 85 9 49 70 72 4 15 59 72 68 13 70 56 80 30 9 36 2 81 99 34 26 64 12 89 93 85 26
20 20 931 41 56 7 74 39 24 58 15 34 40 98 96 68 56 53 98 85 6 67 32 85 43 70 28 20 17 75 53 85 2 65 51 84 97 37 12 87 75 6 2
21 20 888 22 48 94 42 70 54 67 9 23 3 66 61 96 15 57 38 60 16 51 84 67 44 11 14 14 46 12 16 80 27 87 5 81 54 53 40 59 44 41 31
22 20 894 39 17 89 1 39 68 88 49 89 48 17 2 91 1 53 25 54 44 31 20 90 28 30 69 52 2 35 83 89 80 5 53 17 94 76 91 62 83 72 60
23 20 888 5 34 13 10 79 38 30 30 35 21 56 89 48 81 88 7 71 94 61 74 91 86 76 62 92 37 72 33 68 19 54 26 61 54 30 50 62 74 19 29
24 20 940 94 9 82 37 28 76 66 68 39 73 52 34 56 43 47 72 37 89 100 60 99 7 51 91 44 31 46 69 56 38 92 49 54 59 1 4 45 82 86 55
25 20 724 24 37 91 89 13 86 66 11 63 40 4 34 79 42 45 97 85 33 88 46 13 61 65 97 13 61 5 17 15 1 53 91 63 2 3 94 85 74 33 9
26 20 808 7 48 20 91 94 85 84 7 41 77 47 48 40 5 96 98 44 17 93 71 13 83 81 22 56 100 50 7 24 71 46 86 37 35 66 44 26 54 46 42
27 20 915 100 85 29 43 78 22 30 44 31 49 96 98 59 73 32 82 48 42 56 4 93 60 43 81 44 19 56 77 73 16 87 60 20 42 6 31 93 45 70 26
