1 5 331 36 45 180 193 64 187 86 97 48 60
2 5 651 53 62 224 239 133 78 159 21 245 242
3 5 599 152 206 151 184 104 117 217 163 125 119
4 5 444 148 82 87 245 47 58 84 16 190 196
5 5 512 211 29 72 95 103 247 59 23 196 224
6 5 572 156 166 111 212 196 174 27 13 225 104
7 5 258 19 36 178 71 3 144 97 1 26 202
8 5 396 95 244 139 106 129 194 73 31 60 142
9 5 622 213 207 15 195 200 42 206 178 144 88
10 5 771 219 189 158 60 201 90 173 40 213 12
11 5 420 63 33 55 212 134 50 165 128 109 95
12 5 618 42 8 173 43 172 168 142 208 244 28
13 5 481 19 88 220 123 205 152 85 51 73 193
14 5 635 186 218 207 33 25 232 160 42 216 6
15 5 360 165 238 102 225 1 20 133 188 49 247
16 5 412 14 133 83 201 79 24 214 162 126 19
17 5 228 78 46 46 1 95 242 62 49 5 160
18 5 571 178 134 218 74 100 131 65 206 153 124
19 5 480 171 43 23 237 137 131 94 180 176 218
20 5 485 189 206 100 143 209 8 7 140 102 195
21 5 661 226 47 181 145 188 9 105 216 127 93
22 5 739 204 69 136 1 209 231 245 148 130 67
23 5 515 2 85 228 13 2 233 235 227 177 108
24 5 664 88 205 236 199 165 5 173 137 168 160
25 5 236 128 154 99 27 29 83 38 229 1 129
26 5 588 170 242 192 205 12 39 246 39 116 17
27 5 512 208 216 100 89 165 226 152 193 15 72
28 5 435 161 131 45 162 189 37 84 26 65 66
29 5 664 222 15 242 104 174 104 178 97 15 134
30 5 357 242 142 88 79 4 205 45 87 68 20
31 5 494 215 57 64 45 242 110 90 126 7 67
32 5 630 168 118 220 146 154 137 218 55 28 136
33 5 597 226 46 160 125 16 145 209 150 136 90
34 5 572 12 134 101 164 240 137 122 60 240 244
35 5 368 54 87 48 78 49 158 146 132 164 210
36 5 520 99 139 178 102 146 221 65 209 163 211
37 5 558 162 244 73 159 145 127 74 73 244 77
38 5 390 15 123 106 135 82 207 112 32 173 148
39 5 600 55 193 141 53 86 36 240 85 229 211
40 5 810 158 150 164 181 237 224 224 17 230 91
41 5 484 19 196 163 198 138 149 148 176 138 8
42 5 402 95 247 208 76 53 224 132 151 15 232
43 5 517 156 133 67 105 68 211 124 101 232 49
44 5 579 26 35 250 178 37 181 250 234 161 187
45 5 414 31 167 12 249 221 231 140 207 114 225
46 5 295 34 199 13 169 86 248 64 224 172 103
47 5 544 215 47 63 13 172 68 18 212 213 217
48 5 561 176 212 228 56 192 205 20 219 86 211
49 5 432 100 170 232 38 113 121 30 225 65 213
50 5 638 200 138 52 246 186 34 217 132 143 124
51 5 535 221 16 128 124 83 186 119 192 118 227
52 5 488 197 239 65 13 120 16 126 3 102 28
53 5 576 33 170 165 1 175 10 106 225 242 237
54 5 365 233 242 171 178 6 84 13 223 34 175
55 5 688 193 88 211 75 107 231 159 120 190 87
56 5 604 244 14 135 190 128 208 148 220 100 245
57 5 703 182 166 236 28 109 233 182 146 170 44
58 5 602 170 34 189 227 70 103 172 76 152 101
59 5 524 86 67 52 161 160 207 212 6 146 215
60 5 524 80 119 172 221 200 65 121 30 82 106
61 5 426 122 242 95 32 171 103 35 157 110 19
62 5 511 74 82 246 61 33 39 180 145 106 132
63 5 600 80 93 229 138 244 69 67 80 130 35
64 5 672 217 244 237 57 208 24 103 200 76 96
65 5 513 115 47 46 41 179 136 206 182 96 184
66 5 286 30 28 70 124 4 170 195 211 59 15
67 5 586 153 50 221 201 148 129 133 119 78 216
68 5 471 154 122 147 238 48 78 24 103 216 169
69 5 488 61 52 211 22 123 175 179 9 37 147
70 5 452 169 32 173 139 199 74 21 89 4 202
71 5 576 84 64 159 29 222 231 212 65 44 102
72 5 470 17 185 97 59 144 37 85 99 245 239
73 5 469 140 131 245 211 15 166 79 212 108 174
74 5 654 50 41 187 131 212 3 161 127 208 241
75 5 408 29 216 187 13 4 96 55 119 235 104
76 5 281 134 167 23 56 6 164 152 239 37 141
77 5 400 149 40 126 208 166 109 27 33 33 114
78 5 280 39 198 67 218 11 202 135 131 98 148
79 5 427 101 77 219 97 42 222 3 96 169 218
80 5 603 222 119 42 3 226 3 131 62 133 109
81 5 400 49 225 69 75 171 130 4 86 208 222
82 5 461 13 131 41 235 189 227 155 208 179 148
83 5 319 11 83 31 23 196 93 75 73 86 51
84 5 687 222 120 201 219 17 177 234 151 185 226
85 5 721 189 154 229 92 179 82 170 47 135 64
86 5 598 135 74 123 154 185 48 71 158 234 21
87 5 572 92 69 189 165 168 97 181 129 85 139
88 5 663 116 178 91 222 249 148 246 17 127 226
89 5 490 76 114 172 139 95 230 122 135 148 1
90 5 580 112 203 215 138 83 60 93 226 222 31
91 5 512 165 27 157 99 10 85 198 104 111 242
92 5 591 81 219 115 31 151 162 241 31 151 12
93 5 434 38 1 132 227 156 5 6 235 211 183
94 5 425 21 104 18 120 50 228 235 213 208 16
95 5 488 192 116 120 99 12 240 244 109 42 231
96 5 443 31 207 201 55 139 250 123 18 60 177
97 5 519 214 92 88 164 110 64 134 114 103 121
98 5 484 213 72 106 193 55 74 109 76 123 240
99 5 574 148 183 78 204 120 104 139 9 233 149
100 5 502 202 108 46 139 192 181 39 217 149 48
