1 10 501 57 62 118 159 9 152 45 184 34 125 132 148 6 58 167 190 55 211 4 23
2 10 564 27 156 85 212 55 27 73 3 107 1 7 106 178 60 38 15 73 88 62 60
3 10 692 188 55 39 50 86 109 209 173 83 208 7 89 31 205 99 51 33 33 91 216
4 10 1026 13 225 226 133 172 214 89 19 205 1 189 5 91 178 120 206 98 159 80 23
5 10 490 114 94 71 218 8 206 42 7 111 195 35 93 103 67 82 85 23 2 24 108
6 10 588 15 165 152 29 168 229 9 205 5 116 151 165 25 193 120 162 62 84 29 242
7 10 876 77 178 154 134 109 79 183 93 36 64 141 126 196 136 7 46 91 16 101 90
8 10 576 11 122 7 54 164 78 105 164 41 99 30 209 7 159 106 74 139 173 110 86
9 10 397 11 229 40 158 113 103 43 53 27 151 22 133 127 232 1 37 17 187 96 167
10 10 419 2 231 61 199 79 79 36 63 183 212 73 212 23 192 46 219 2 170 19 113
11 10 485 113 246 65 217 30 128 127 186 12 13 131 126 86 175 14 233 9 178 20 120
12 10 579 7 135 61 208 18 146 81 54 81 189 24 103 79 152 150 86 184 161 39 146
13 10 828 95 119 51 121 145 122 9 32 80 35 94 19 190 39 71 106 119 80 182 80
14 10 858 14 208 51 96 204 41 72 206 69 184 205 28 192 123 98 221 50 129 118 78
15 10 734 52 122 35 122 190 211 82 173 177 89 4 64 92 222 20 65 112 185 154 144
16 10 447 6 169 111 245 40 166 181 41 64 212 10 29 35 13 16 174 43 109 53 218
17 10 548 49 131 142 77 32 42 29 96 132 3 25 131 142 49 26 75 80 4 29 13
18 10 794 72 224 220 196 158 73 165 140 29 201 32 177 17 185 25 189 116 123 159 189
19 10 494 83 181 122 139 73 222 2 246 25 76 112 230 103 9 36 83 25 31 37 27
20 10 486 152 85 53 111 9 81 32 31 10 151 213 132 24 5 40 83 16 208 59 120
21 10 682 7 42 20 31 44 55 128 60 74 214 159 164 141 134 137 121 1 72 142 123
22 10 669 6 183 131 139 102 202 143 139 59 39 34 48 148 77 20 173 187 122 7 9
23 10 690 58 56 31 166 13 127 129 6 38 80 47 225 90 103 128 209 124 227 205 215
24 10 800 66 178 174 200 162 158 95 31 50 45 150 160 46 116 19 37 124 27 114 190
25 10 584 54 170 39 201 13 4 125 221 30 177 33 120 205 182 64 108 62 217 105 127
26 10 651 67 47 93 120 175 187 6 11 17 144 64 17 2 137 20 248 192 161 178 98
27 10 816 129 144 138 148 117 231 59 72 161 105 59 78 31 95 79 85 166 68 82 57
28 10 960 46 91 89 67 91 34 38 193 83 223 242 6 123 122 183 208 213 114 93 5
